innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
28073984,10,0,2,11955200,2847744,35260416,28672,14810112,64487424,97.22
40430592,19,0,0,12515328,8420352,52761600,45056,37568512,2898944,77.63
43077632,40,0,1,6110208,11282432,3989504,44032,45709312,50864128,75.61
44179456,43,1,1,4173824,16148480,38612992,21504,40548352,28607488,73.65
71188480,48,1,1,6935552,4564992,50893824,34816,76643328,42500096,69.1
64295936,9,0,0,226304,1971200,16983040,44032,40934400,21051392,66.41
76839936,15,1,1,8299520,2992128,4200448,10240,81644544,2289664,63.53
155261952,36,1,1,858112,72704,62808064,24576,94895104,49473536,63.19
54930432,41,1,1,11723776,9758720,37706752,11264,50663424,38034432,62.87
50409472,6,1,2,5722112,13686784,45684736,0,97769472,61885440,62.48
314486784,12,1,1,766976,12790784,58135552,30720,115834880,42156032,62.42
930138112,49,0,1,1807360,12149760,4212736,30720,85625856,44928000,62.06
850435072,2,0,1,12533760,911360,65171456,13312,75728896,18872320,61.67
237861888,42,0,1,5925888,15400960,31840256,16384,72867840,29120512,59.5
549943296,14,0,1,7646208,8686592,30224384,34816,50751488,62220288,59.43
106097664,26,0,1,5197824,3034112,32240640,23552,95860736,23784448,58.78
3115084800,6,1,1,6038528,754688,48328704,27648,55904256,4788224,57.95
55025664,38,1,2,5133312,12731392,30642176,3072,73892864,42400768,57.76
111159296,40,1,1,8378368,4412416,17933312,4096,25421824,21597184,57.53
1345106944,39,1,2,12878848,5352448,50289664,33792,98463744,21950464,57.21
101657600,2,1,1,1614848,13070336,57915392,0,18407424,54138880,56.77
2705697792,41,0,1,4191232,93184,21782528,26624,81668096,18061312,55.77
81806336,23,1,0,15392768,69632,59728896,41984,67415040,30107648,55.58
1431384064,19,0,0,6830080,92160,1683456,32768,5366784,15004672,55.46
1653857280,44,0,1,6171648,1467392,16243712,22528,36834304,56408064,55.31
1767453696,37,1,1,3191808,16351232,54333440,22528,128310272,21812224,55.24
1408658432,2,1,0,13100032,10881024,48509952,11264,42192896,23457792,55.18
1149618176,21,0,1,4044800,607232,19761152,47104,91456512,49034240,54.09
666960896,5,1,1,4649984,15792128,55578624,20480,94725120,19953664,53.94
884633600,40,0,1,9719808,3334144,26593280,34816,104182784,22747136,53.15
2910632960,36,1,1,11867136,4372480,59778048,27648,67657728,31208448,52.95
865804288,7,1,1,646144,2684928,64185344,18432,97146880,66449408,52.92
1058269184,7,1,1,11413504,13388800,8625152,23552,70980608,12496896,52.81
319453184,11,1,1,4226048,16338944,48082944,48128,31130624,5312512,52.81
2472397824,22,0,1,15340544,13711360,14508032,28672,125913088,24796160,52.62
246566912,41,0,1,3499008,2124800,44059648,15360,3875840,22336512,52.61
709121024,49,0,1,10562560,8518656,18447360,30720,35482624,50021376,52.6
2841539584,12,0,1,4542464,13436928,48499712,48128,23768064,41334784,52.49
764664832,47,0,1,11097088,13049856,61956096,17408,93184000,4615168,52.46
603974656,38,1,1,10173440,13655040,57232384,29696,109263872,48812032,52.37
579267584,33,0,1,16439296,9399296,17532928,7168,2466816,29541376,52.22
844954624,16,1,1,8369152,1678336,9014272,50176,2048000,43916288,51.97
331897856,33,1,1,3421184,15767552,23314432,6144,19894272,27590656,51.96
236989440,38,0,1,7828480,475136,23219200,35840,80864256,26954752,51.9
262462464,16,0,1,10238976,2884608,48171008,21504,28012544,50890752,51.83
457177088,13,0,1,16606208,7682048,31505408,3072,3151872,15852544,51.81
291571712,0,0,1,9003008,3874816,49475584,12288,29883392,50046976,51.66
1723995136,48,0,1,9574400,4591616,54080512,13312,30732288,62346240,51.58
910795776,22,1,1,1036288,4876288,42870784,28672,90079232,54091776,51.33
476969984,25,0,1,2208768,13619200,50877440,14336,88856576,12106752,51.33
112382976,20,0,1,8634368,7876608,22074368,16384,42677248,44390400,51.33
730151936,10,0,1,7162880,9629696,36135936,15360,7362560,15561728,51.31
487655424,29,0,1,2577408,5299200,29241344,16384,9114624,18122752,51.16
842673152,47,1,1,2091008,10855424,8404992,11264,82613248,39524352,51.11
416996352,45,0,1,420864,14437376,28742656,11264,117127168,53648384,51.11
1027000320,12,1,1,13280256,721920,40366080,5120,40235008,22812672,51.06
312058880,22,0,1,14306304,5002240,24297472,38912,40355840,9804800,51.03
