executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2,1125,0.3748271023118385,0.5330488415064301,7,False,False,False,True,lz4,8,31,org.apache.spark.serializer.JavaSerializer,2363
2,1156,0.3812850478036324,0.5491593685071402,7,False,True,False,True,lzf,8,30,org.apache.spark.serializer.JavaSerializer,2230
2,1149,0.3752136605932059,0.5409805016811401,7,False,True,False,True,lz4,8,30,org.apache.spark.serializer.JavaSerializer,2242
3,1070,0.34532412145222285,0.48556955631872206,6,False,False,True,False,lz4,8,32,org.apache.spark.serializer.JavaSerializer,3265
3,1024,0.3170948592007655,0.4207083994231067,5,False,False,True,False,lz4,8,36,org.apache.spark.serializer.JavaSerializer,2933
1,4096,0.9,0.9,12,False,True,False,False,snappy,8,8,org.apache.spark.serializer.JavaSerializer,2809
3,1024,0.3395474218973353,0.29602081244308753,4,True,False,True,True,lz4,52,25,org.apache.spark.serializer.JavaSerializer,3089
4,1024,0.1,0.1,1,True,False,True,True,lz4,96,64,org.apache.spark.serializer.KryoSerializer,3055
3,1024,0.4215316791738236,0.35584669011448955,2,True,False,True,True,lzf,43,49,org.apache.spark.serializer.KryoSerializer,3156
4,1024,0.43958681484951423,0.3368086138439669,1,True,False,True,True,lz4,27,64,org.apache.spark.serializer.KryoSerializer,2936
4,1024,0.3559960189869697,0.1,1,False,False,True,False,lz4,8,64,org.apache.spark.serializer.KryoSerializer,3104
4,1090,0.5052752173719833,0.3720146037198414,1,False,False,True,False,lz4,8,51,org.apache.spark.serializer.KryoSerializer,3203
3,1299,0.5505763771371736,0.4789160485005058,5,False,True,True,False,lzf,8,38,org.apache.spark.serializer.JavaSerializer,2958
4,1138,0.5209664416116075,0.40697647775348605,3,False,False,True,False,lzf,8,46,org.apache.spark.serializer.KryoSerializer,2840
3,1389,0.560112260483969,0.5051769752553967,6,False,True,True,False,lzf,8,36,org.apache.spark.serializer.JavaSerializer,3113
4,1024,0.1,0.1,1,False,False,True,False,lz4,8,8,org.apache.spark.serializer.KryoSerializer,3041
4,1024,0.2854144227808739,0.3598254661700339,1,False,False,True,False,lz4,18,8,org.apache.spark.serializer.KryoSerializer,2987
1,3664,0.7348282215013142,0.9,12,True,True,False,True,snappy,17,8,org.apache.spark.serializer.JavaSerializer,3015
4,1024,0.1,0.1,1,False,False,True,False,lz4,8,8,org.apache.spark.serializer.KryoSerializer,3038
