executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,2276,0.128974388,0.403143549,4,FALSE,TRUE,TRUE,TRUE,snappy,17,9,org.apache.spark.serializer.KryoSerializer,723
4,3875,0.862414904,0.427573787,2,FALSE,FALSE,FALSE,FALSE,lzf,62,15,org.apache.spark.serializer.KryoSerializer,1013
2,1639,0.461709205,0.21392561,11,FALSE,FALSE,TRUE,TRUE,lz4,22,25,org.apache.spark.serializer.JavaSerializer,623
3,1768,0.137587335,0.357458649,9,TRUE,TRUE,TRUE,TRUE,snappy,8,62,org.apache.spark.serializer.KryoSerializer,990
3,2169,0.30997845,0.599723931,5,FALSE,TRUE,FALSE,TRUE,lz4,16,47,org.apache.spark.serializer.KryoSerializer,894
2,2689,0.411694277,0.689063694,3,TRUE,FALSE,TRUE,TRUE,lzf,27,12,org.apache.spark.serializer.KryoSerializer,698
2,3732,0.27715419,0.462316666,9,FALSE,TRUE,TRUE,FALSE,snappy,28,58,org.apache.spark.serializer.KryoSerializer,888
1,2635,0.447880575,0.538385774,12,TRUE,TRUE,TRUE,FALSE,snappy,66,64,org.apache.spark.serializer.JavaSerializer,647
2,1994,0.124553366,0.742168274,9,TRUE,TRUE,FALSE,TRUE,lzf,66,20,org.apache.spark.serializer.JavaSerializer,708
2,1555,0.187081871,0.300998303,7,TRUE,FALSE,TRUE,FALSE,lzf,10,22,org.apache.spark.serializer.KryoSerializer,489
2,1955,0.638637805,0.36084079,11,FALSE,TRUE,FALSE,FALSE,snappy,60,41,org.apache.spark.serializer.KryoSerializer,630
2,2852,0.146815612,0.830993068,10,FALSE,FALSE,FALSE,TRUE,lz4,57,21,org.apache.spark.serializer.JavaSerializer,698
1,3630,0.722793303,0.174363836,1,FALSE,FALSE,TRUE,TRUE,lz4,51,36,org.apache.spark.serializer.KryoSerializer,1039
1,3941,0.323062851,0.699441477,5,FALSE,FALSE,TRUE,TRUE,lzf,24,34,org.apache.spark.serializer.KryoSerializer,1006
2,2535,0.279240503,0.521892119,9,FALSE,TRUE,FALSE,FALSE,snappy,94,41,org.apache.spark.serializer.JavaSerializer,692
1,2111,0.575861365,0.489732915,11,FALSE,TRUE,FALSE,TRUE,lzf,19,51,org.apache.spark.serializer.KryoSerializer,475
1,1265,0.152391871,0.233638907,9,FALSE,FALSE,FALSE,TRUE,snappy,27,40,org.apache.spark.serializer.JavaSerializer,432
1,1318,0.749007074,0.412706524,4,TRUE,TRUE,TRUE,FALSE,snappy,25,58,org.apache.spark.serializer.KryoSerializer,507
3,1953,0.427314428,0.478944653,2,FALSE,FALSE,FALSE,FALSE,lzf,87,52,org.apache.spark.serializer.JavaSerializer,1037
4,2099,0.162600371,0.656777929,3,FALSE,FALSE,FALSE,FALSE,lzf,74,58,org.apache.spark.serializer.KryoSerializer,822
1,1398,0.789347808,0.321996613,12,FALSE,TRUE,TRUE,TRUE,lz4,10,61,org.apache.spark.serializer.KryoSerializer,398
3,3563,0.774610646,0.478717932,8,FALSE,TRUE,FALSE,FALSE,lz4,42,64,org.apache.spark.serializer.KryoSerializer,990
4,3353,0.114152504,0.590569569,5,FALSE,FALSE,TRUE,FALSE,lz4,63,36,org.apache.spark.serializer.KryoSerializer,1012
1,1128,0.336736597,0.376959656,7,FALSE,TRUE,TRUE,TRUE,snappy,29,54,org.apache.spark.serializer.KryoSerializer,361
2,1960,0.139256517,0.12891407,6,TRUE,FALSE,FALSE,TRUE,lz4,32,50,org.apache.spark.serializer.KryoSerializer,603
2,2298,0.436021426,0.516004423,5,TRUE,FALSE,FALSE,TRUE,lz4,56,27,org.apache.spark.serializer.JavaSerializer,352
1,1879,0.832705088,0.724400585,8,TRUE,TRUE,FALSE,FALSE,lzf,30,61,org.apache.spark.serializer.KryoSerializer,459
1,2184,0.584108457,0.711927915,4,FALSE,TRUE,TRUE,FALSE,snappy,33,29,org.apache.spark.serializer.KryoSerializer,463
1,3533,0.747127606,0.561157462,11,TRUE,FALSE,TRUE,TRUE,lz4,11,17,org.apache.spark.serializer.KryoSerializer,847
1,2844,0.233818393,0.766678495,8,FALSE,TRUE,TRUE,FALSE,snappy,32,55,org.apache.spark.serializer.JavaSerializer,697
2,1126,0.140283331,0.311387474,5,FALSE,TRUE,FALSE,FALSE,lzf,72,14,org.apache.spark.serializer.JavaSerializer,711
1,2468,0.704465874,0.313284469,5,TRUE,FALSE,FALSE,TRUE,lzf,88,46,org.apache.spark.serializer.KryoSerializer,657
2,1105,0.785455629,0.535086959,4,TRUE,FALSE,TRUE,TRUE,lzf,91,54,org.apache.spark.serializer.KryoSerializer,721
4,3360,0.241355579,0.257132737,3,FALSE,FALSE,FALSE,TRUE,lzf,51,8,org.apache.spark.serializer.KryoSerializer,967
2,2710,0.556360179,0.752683356,4,FALSE,TRUE,FALSE,FALSE,lz4,60,31,org.apache.spark.serializer.KryoSerializer,645
1,2065,0.32351378,0.415263369,10,TRUE,TRUE,TRUE,FALSE,lzf,11,32,org.apache.spark.serializer.KryoSerializer,472
4,3927,0.835332117,0.131237491,11,FALSE,FALSE,TRUE,FALSE,lz4,42,18,org.apache.spark.serializer.JavaSerializer,963
3,1659,0.684345346,0.607486494,6,TRUE,FALSE,TRUE,FALSE,lzf,27,57,org.apache.spark.serializer.JavaSerializer,992
2,1206,0.644136771,0.386479353,1,TRUE,TRUE,TRUE,FALSE,lzf,87,20,org.apache.spark.serializer.KryoSerializer,708
4,2981,0.364661668,0.320922245,12,FALSE,FALSE,TRUE,TRUE,lzf,35,9,org.apache.spark.serializer.KryoSerializer,912
1,3876,0.326759741,0.139332525,5,FALSE,TRUE,FALSE,TRUE,lz4,40,53,org.apache.spark.serializer.KryoSerializer,755
3,1300,0.64904755,0.859126057,10,FALSE,TRUE,FALSE,TRUE,snappy,66,63,org.apache.spark.serializer.KryoSerializer,983
2,1228,0.415719678,0.69391638,6,FALSE,TRUE,TRUE,TRUE,lz4,12,47,org.apache.spark.serializer.JavaSerializer,676
1,1984,0.55402277,0.105203666,3,FALSE,TRUE,TRUE,TRUE,lz4,95,26,org.apache.spark.serializer.KryoSerializer,491
3,1989,0.451284255,0.816677993,12,TRUE,TRUE,TRUE,TRUE,snappy,70,64,org.apache.spark.serializer.JavaSerializer,1002
3,3146,0.475592113,0.309698893,5,FALSE,TRUE,TRUE,FALSE,lzf,27,15,org.apache.spark.serializer.KryoSerializer,968
4,1663,0.71198451,0.823363587,9,TRUE,TRUE,FALSE,FALSE,lzf,96,55,org.apache.spark.serializer.JavaSerializer,966
1,2393,0.181284116,0.192747305,4,FALSE,TRUE,TRUE,FALSE,snappy,17,14,org.apache.spark.serializer.JavaSerializer,701
4,3767,0.785176476,0.746596041,5,FALSE,TRUE,FALSE,TRUE,lzf,32,11,org.apache.spark.serializer.JavaSerializer,1008
1,3836,0.15898957,0.882448835,7,FALSE,FALSE,FALSE,FALSE,lzf,87,60,org.apache.spark.serializer.JavaSerializer,779
1,2055,0.281776684,0.198736794,12,TRUE,FALSE,TRUE,FALSE,lz4,39,64,org.apache.spark.serializer.KryoSerializer,513
2,2856,0.527882457,0.258200074,6,FALSE,FALSE,TRUE,FALSE,lzf,87,15,org.apache.spark.serializer.JavaSerializer,698
2,1142,0.654444056,0.753924107,3,TRUE,TRUE,TRUE,FALSE,snappy,79,19,org.apache.spark.serializer.KryoSerializer,726
4,3263,0.502667638,0.684419282,10,TRUE,TRUE,FALSE,TRUE,snappy,53,37,org.apache.spark.serializer.JavaSerializer,933
3,2767,0.868098771,0.404016932,11,FALSE,FALSE,TRUE,TRUE,snappy,41,21,org.apache.spark.serializer.JavaSerializer,768
4,3561,0.106144679,0.472989593,9,FALSE,FALSE,FALSE,FALSE,lz4,28,13,org.apache.spark.serializer.KryoSerializer,949
4,1850,0.686407205,0.340615016,11,FALSE,FALSE,TRUE,TRUE,lz4,40,48,org.apache.spark.serializer.JavaSerializer,927
4,4087,0.518485945,0.107621706,12,FALSE,TRUE,TRUE,FALSE,snappy,34,27,org.apache.spark.serializer.KryoSerializer,977
2,1342,0.27285597,0.874033924,4,FALSE,TRUE,FALSE,FALSE,lz4,44,42,org.apache.spark.serializer.JavaSerializer,691
1,2926,0.655979338,0.337604035,2,TRUE,FALSE,FALSE,TRUE,snappy,52,37,org.apache.spark.serializer.KryoSerializer,737
3,2247,0.186363977,0.61210274,1,TRUE,TRUE,TRUE,FALSE,snappy,77,32,org.apache.spark.serializer.JavaSerializer,1001
2,3856,0.235233155,0.581999613,7,TRUE,TRUE,FALSE,TRUE,lzf,28,30,org.apache.spark.serializer.KryoSerializer,746
3,3884,0.308881331,0.801504628,2,TRUE,TRUE,TRUE,FALSE,lz4,35,16,org.apache.spark.serializer.JavaSerializer,893
1,1975,0.285922782,0.774024817,9,FALSE,FALSE,FALSE,TRUE,snappy,51,59,org.apache.spark.serializer.KryoSerializer,510
1,2138,0.570900618,0.580277125,4,TRUE,FALSE,FALSE,TRUE,lzf,54,36,org.apache.spark.serializer.KryoSerializer,521
2,1103,0.209394592,0.261586714,8,TRUE,TRUE,FALSE,TRUE,lzf,74,43,org.apache.spark.serializer.JavaSerializer,636
2,3874,0.63348163,0.601324241,6,FALSE,TRUE,FALSE,FALSE,snappy,64,31,org.apache.spark.serializer.JavaSerializer,997
