executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,3271,0.6325458919221342,0.12211803201032065,3,True,True,False,True,snappy,45,20,org.apache.spark.serializer.KryoSerializer,2474.0
3,1965,0.8092135924948652,0.2981459851905756,5,False,False,True,True,snappy,62,31,org.apache.spark.serializer.JavaSerializer,3275.0
2,3581,0.4144840389721053,0.6473899362813061,4,False,True,True,True,snappy,36,11,org.apache.spark.serializer.KryoSerializer,3186.0
1,2893,0.4763697916815616,0.8677079273910908,11,False,True,True,False,snappy,70,16,org.apache.spark.serializer.KryoSerializer,2091.0
2,3512,0.8742816063212803,0.3944208284947005,11,True,False,False,False,lz4,35,36,org.apache.spark.serializer.KryoSerializer,3147.0
3,2947,0.2226108958785317,0.4547984323106011,5,True,True,False,False,lz4,31,27,org.apache.spark.serializer.KryoSerializer,2673.0
3,3936,0.6137844446857437,0.8575714341796377,10,True,False,False,True,lz4,82,12,org.apache.spark.serializer.KryoSerializer,3180.0
1,2135,0.8700983991166398,0.6229523455059496,2,True,True,False,True,snappy,19,21,org.apache.spark.serializer.KryoSerializer,1659.0
1,1233,0.34102975030098226,0.14066820179982806,3,False,True,True,True,lzf,72,55,org.apache.spark.serializer.JavaSerializer,1634.0
2,1614,0.1548252916520287,0.7360428713254569,2,False,False,True,False,snappy,77,23,org.apache.spark.serializer.KryoSerializer,2447.0
1,1591,0.197660795112916,0.7584373028259787,12,True,False,True,False,lzf,73,63,org.apache.spark.serializer.JavaSerializer,1244.0
2,3610,0.1868901838483573,0.7050050904296495,10,True,True,False,True,lz4,8,10,org.apache.spark.serializer.JavaSerializer,3218.0
3,3691,0.5204709841578096,0.36985138833705145,2,True,True,False,False,snappy,66,37,org.apache.spark.serializer.JavaSerializer,3249.0
3,1087,0.5086321946354261,0.4651859764646685,3,True,False,False,True,snappy,82,59,org.apache.spark.serializer.KryoSerializer,3381.0
3,3595,0.4915608052448083,0.11257523210877816,5,True,False,True,True,lz4,96,32,org.apache.spark.serializer.KryoSerializer,3177.0
4,1911,0.2598053914982372,0.10696981829817977,5,False,False,True,True,lzf,85,53,org.apache.spark.serializer.JavaSerializer,3364.0
1,2398,0.35102697813788064,0.7921509149905077,4,True,False,True,False,snappy,96,12,org.apache.spark.serializer.KryoSerializer,2410.0
2,3636,0.10792506194081401,0.25675664182750946,2,True,True,True,True,snappy,79,33,org.apache.spark.serializer.KryoSerializer,3306.0
2,1244,0.59166721954587,0.5018020259423555,5,False,True,False,True,lzf,30,59,org.apache.spark.serializer.KryoSerializer,2188.0
2,3508,0.20934591634660316,0.8701920913857536,3,True,False,False,True,lz4,91,61,org.apache.spark.serializer.JavaSerializer,3324.0
1,1744,0.23073043749195696,0.17855975329543866,12,True,True,False,False,lz4,44,62,org.apache.spark.serializer.KryoSerializer,1645.0
3,2359,0.8312127369937358,0.6115890698764709,12,True,False,True,False,lz4,78,52,org.apache.spark.serializer.KryoSerializer,3002.0
4,1098,0.4585285856036631,0.2642502483984359,12,False,False,True,True,snappy,16,30,org.apache.spark.serializer.JavaSerializer,3026.0
4,3039,0.7405769030115028,0.8215034581178673,9,True,False,True,False,lzf,9,28,org.apache.spark.serializer.KryoSerializer,3061.0
2,1246,0.4694802849652889,0.5734986993492999,4,False,True,True,False,lzf,75,23,org.apache.spark.serializer.JavaSerializer,2302.0
1,2838,0.11791284592226008,0.2804242828218271,1,True,False,True,True,lzf,82,27,org.apache.spark.serializer.KryoSerializer,2398.0
3,1788,0.6583962285701508,0.4470007413305625,1,False,True,False,True,snappy,35,35,org.apache.spark.serializer.KryoSerializer,3265.0
3,3506,0.23159631100032935,0.6846356485576637,3,True,True,False,True,snappy,58,10,org.apache.spark.serializer.JavaSerializer,3199.0
4,3880,0.3820909687100288,0.6506763393215531,7,False,False,True,True,lzf,69,12,org.apache.spark.serializer.JavaSerializer,3143.0
1,1332,0.8625745785129393,0.8773892944064441,10,False,False,False,False,snappy,14,42,org.apache.spark.serializer.JavaSerializer,1164.0
3,2008,0.19885257653383,0.5987983250754961,4,False,False,True,False,snappy,66,61,org.apache.spark.serializer.JavaSerializer,3335.0
2,3488,0.4504906116335165,0.4172347760767709,4,True,False,True,True,snappy,66,42,org.apache.spark.serializer.KryoSerializer,3289.0
2,1040,0.3448508711324356,0.25929343814759165,12,False,True,True,True,lzf,47,32,org.apache.spark.serializer.KryoSerializer,2301.0
4,1298,0.7881082353900744,0.7553206992455544,6,True,True,False,False,snappy,86,24,org.apache.spark.serializer.KryoSerializer,3268.0
2,3698,0.3015519981626141,0.4319570421512763,10,False,True,False,False,lzf,43,62,org.apache.spark.serializer.JavaSerializer,2530.0
1,2239,0.7417838289887964,0.3152496474700389,5,False,True,True,True,lzf,44,35,org.apache.spark.serializer.KryoSerializer,1778.0
2,2949,0.2542827563971673,0.4321149611588077,12,False,False,False,True,lz4,30,27,org.apache.spark.serializer.KryoSerializer,2265.0
1,2853,0.4374697607862291,0.14886758802334302,11,True,True,True,True,lzf,82,47,org.apache.spark.serializer.JavaSerializer,2430.0
2,2154,0.8847023317229381,0.10907040621460036,1,False,False,True,True,lzf,52,9,org.apache.spark.serializer.KryoSerializer,2500.0
3,1436,0.13339395660242667,0.4844176294638744,10,False,False,False,True,lz4,62,54,org.apache.spark.serializer.KryoSerializer,3212.0
1,3741,0.3629805207870078,0.8105562541318919,8,True,False,False,True,snappy,17,50,org.apache.spark.serializer.JavaSerializer,2605.0
1,3113,0.7047143682557162,0.2366874976120473,1,True,False,False,False,lz4,48,26,org.apache.spark.serializer.JavaSerializer,2463.0
2,4028,0.8800578184396352,0.2910580777642323,1,True,True,False,False,lz4,19,42,org.apache.spark.serializer.KryoSerializer,3359.0
4,2232,0.848056155682308,0.7019623731468662,7,True,True,True,False,lz4,63,53,org.apache.spark.serializer.KryoSerializer,2803.0
1,2541,0.5757372205442142,0.1518825799675706,5,True,True,False,False,lz4,17,36,org.apache.spark.serializer.KryoSerializer,2320.0
3,2139,0.2785153734020934,0.3518471611953078,8,True,True,False,True,snappy,37,47,org.apache.spark.serializer.KryoSerializer,3174.0
4,2539,0.6237183136164371,0.2766537402516616,12,False,False,False,False,snappy,45,57,org.apache.spark.serializer.KryoSerializer,3113.0
3,2334,0.5603233219992089,0.12521043247424846,9,False,True,False,False,lzf,43,13,org.apache.spark.serializer.KryoSerializer,3171.0
1,3940,0.2717291738595963,0.8698015089262501,4,False,True,False,True,snappy,72,34,org.apache.spark.serializer.KryoSerializer,3152.0
2,2309,0.5523414644660752,0.27310054249966625,2,False,False,False,True,lzf,64,35,org.apache.spark.serializer.KryoSerializer,2423.0
1,2079,0.3607869702472525,0.34210708337581136,10,False,False,False,True,snappy,10,59,org.apache.spark.serializer.KryoSerializer,1652.0
3,1874,0.15498282688540882,0.5929887336639346,6,True,False,False,False,lz4,70,14,org.apache.spark.serializer.JavaSerializer,3358.0
4,3183,0.2635459875370365,0.5082202371152984,10,False,False,True,False,snappy,14,62,org.apache.spark.serializer.KryoSerializer,3285.0
4,3344,0.32838864700817194,0.8235727681800932,5,False,False,False,True,lzf,37,8,org.apache.spark.serializer.KryoSerializer,3335.0
3,3138,0.6907563457014894,0.1013527110398112,12,False,True,False,False,lzf,90,45,org.apache.spark.serializer.JavaSerializer,3266.0
1,2740,0.13971701895524113,0.6965239220135592,8,False,False,True,False,lzf,93,35,org.apache.spark.serializer.KryoSerializer,2026.0
4,1432,0.7306987193834494,0.5285394919393283,1,True,False,True,True,lz4,36,64,org.apache.spark.serializer.KryoSerializer,3155.0
4,2708,0.24557538948011345,0.4301581420706255,12,False,True,True,True,lzf,14,52,org.apache.spark.serializer.JavaSerializer,2896.0
3,3533,0.43639406604100384,0.608725467171128,2,False,False,True,True,snappy,46,37,org.apache.spark.serializer.KryoSerializer,3161.0
1,3138,0.4563780170253418,0.16637193372020154,4,False,True,False,True,lz4,51,31,org.apache.spark.serializer.KryoSerializer,2221.0
1,3848,0.2083253681707821,0.2286584571434539,11,False,False,False,False,lzf,69,64,org.apache.spark.serializer.KryoSerializer,3240.0
2,2223,0.6247951279172982,0.436571995601678,2,True,True,True,True,lzf,73,47,org.apache.spark.serializer.JavaSerializer,2301.0
4,2898,0.407988367363049,0.8814432167744656,10,True,True,True,True,lzf,57,37,org.apache.spark.serializer.JavaSerializer,2995.0
1,3033,0.8925570547056276,0.13537691355421738,1,True,False,False,False,lz4,91,32,org.apache.spark.serializer.KryoSerializer,2219.0
3,3286,0.4873124129902723,0.4440587433158579,8,True,True,True,False,lz4,88,39,org.apache.spark.serializer.JavaSerializer,3195.0
2,1075,0.29354238079207906,0.22125015357575897,4,True,True,True,True,lzf,96,38,org.apache.spark.serializer.KryoSerializer,2197.0
4,2583,0.2557203717865877,0.4204878945506604,3,False,False,False,False,snappy,14,15,org.apache.spark.serializer.KryoSerializer,3176.0
3,1188,0.10214799386085947,0.4953256762369346,8,True,False,False,True,lz4,93,57,org.apache.spark.serializer.JavaSerializer,3059.0
1,2746,0.2934671901778504,0.7120504322329485,3,True,False,False,True,snappy,57,21,org.apache.spark.serializer.JavaSerializer,2354.0
1,1907,0.7825082239966277,0.3700247939822613,1,True,False,False,False,lzf,53,36,org.apache.spark.serializer.JavaSerializer,1768.0
4,1443,0.2612342241392188,0.7330898239293208,1,False,False,True,True,lzf,72,50,org.apache.spark.serializer.JavaSerializer,3340.0
1,1820,0.3495794022903781,0.7148607583202046,10,True,False,False,False,snappy,79,10,org.apache.spark.serializer.KryoSerializer,1595.0
4,4069,0.8271851573848762,0.4227290920954817,1,True,False,False,False,lzf,52,23,org.apache.spark.serializer.KryoSerializer,3312.0
1,3896,0.2612679353512374,0.7991656715953049,7,False,True,False,False,snappy,72,22,org.apache.spark.serializer.KryoSerializer,3129.0
1,2749,0.7895669040308494,0.18908416238422315,6,False,True,True,False,lzf,69,48,org.apache.spark.serializer.JavaSerializer,2377.0
3,3466,0.32489609211801673,0.8613532365798092,9,False,True,False,False,lz4,25,42,org.apache.spark.serializer.KryoSerializer,3002.0
